Object,Lat,Long,Date,Time,Seeing,Transparency,Power,Description
M18,Lester,Lester,6/27/23,12:05 AM,VG,4,20mm,Barely in sight of the Omega nebula if this is even it. There are maybe a dozen stars. It's hard to even distinguish this cluster with up-coming star cloud. Barely stands out.
M19,Lester,Lester,6/17/23,11:10 PM,VG,4,15mm,"Very large and bright. Medium roughness, mottled globular cluster. Some stars resolvable near the center. Core seems to be very large."
M20,Lester,Lester,6/24/23,11:20 PM,VG,4,20mm,A large bright-ish cluster of general light. Initially I confused the lagoon nebula for M20. It's much smaller than the lagoon nebula. It still has a mini-lagoon in it.
M21,Lester,Lester,6/24/23,11:20 PM,VG,4,20mm,"Cluster of stars next to the ""mini-lagoon"" nebula. It's much farther out than the cluster of stars in the actual lagoon nebula. The stars look sparse but compact near the center. Reminds me of an eye of an iguana."
M22*,Lester,Lester,6/27/23,12:10 AM,VG,4,20mm,Very large globular cluster with resolvable stars. All of the resolvable stars are about the same magnitude. There is a nice glow of white light behind the stars. The stars seem to make an oval shape. Very large. Averted vision reveals more stars. Rough texture of the milky background. Maybe some ravines.Very nice
M23,Lester,Lester,6/26/23,11:45 PM,VG,3.5,20mm,A nice cluster of stars all of the same magnitude. None very bright. Some faint. Mostly all medium brightness. Evenly dispersed set of stars. Reminds me of a starfish shape.
M24*,Lester,Lester,6/26/23,11:50 PM,VG,3.5,20mm,Very awesome star field. I wish i had a higher mm eyepiece to see all of it at once. It is like an open cluster that spans the entire field of view. Milky white background. Very large. Wide. Thousands of stars
M25,Lester,Lester,6/26/23,11:35 PM,VG,3.5,20mm,Cluster of stars with some very close stars near the center. I can make out six very close stars around the same magnitude. Some brighter outliers scattered around. Kind of loose. Maybe forty of fifty stars in total.
M26,Lester,Lester,6/28/23,11:55 PM,VG,2.5,20mm,There are four bright stars that form a diamond with faint emerging dots of light surrounding them.
M27*,Lester,Lester,6/27/23,11:25 PM,VG,3.5,20mm,"A squarish blob of dull light. Almost forms a ""Z"". Slightly brighter on the bottom. Definitely looks like a dumbbell. Thick, milky, large."
M28,Lester,Lester,6/27/23,12:05 AM,VG,4,20mm,"A pretty, small globular cluster. No individual stars resolved. Very soft. Circular. Spherical"
M29,Lester,Lester,6/27/23,11:50 PM,VG,3.5,20mm,A very wimpy cluster. Maybe 7 or 8 bright stars. The background is already populated with stars. This is a hard to distinguish cluster amongst a field of stars. A few faint dots of light in the background
M30,35.0118938,-87.1463868,7/11/23,12:10 AM,VG,5,20mm,"Circular globular cluster. Boring. Normal, medium sized. No stars resolvable really. Maybe some stars near the middle. Weirdly shaped. The center doesn't look completely circular on further view. Bright grey bulb in the sky"
M31,34.749463,-86.512439,12/17/22,9:00 PM,E,3,6mm,Fine dim bloom
M32,34.749463,-86.512439,12/17/22,9:00 PM,E,3,6mm,Faint dot
M33,34.7853552,-87.2329155,12/27/22,9:00 PM,VG,4,20mm,Wide dim light
M34,34.92885,-87.025166,12/28/22,7:00 PM,VG,3,15mm,"Cluster of stars, appear to be in pairs, faint dots of light in background"
M35,34.98273,-87.1495491,12/31/22,9:55 PM,VG,3,15mm,Wide group of bright stars with faint stars in background
M36,34.98273,-87.1495491,12/31/22,9:35 PM,VG,3,15mm,"Loosely dispersed set of stars, emerging and faint dots of light in background"
M37,34.749469,-86.512399,3/4/23,8:25 PM,VG,3,20mm,"Large, finely spread cluster of lower magnitude stars. Circular. Maybe 50 stars. 3 or 4 clearly brighter than the rest"
M38,34.98273,-87.1495391,12/31/22,9:25 PM,VG,3,15mm,"Dispersed set of star, emerging dots of light in background"
M39,Lester,Lester,6/27/23,11:55 PM,VG,3.5,20mm,Very large and bright star cluster that is extremely spread out. Hard to distinguish from the populated star field around the object. Takes of the entire field of view in a 20mm eye piece
M40,34.9837014,-87.1687638,2/28/23,10:30 PM,G,3,15mm,"Two close in proximity and magnitude stars. Accompanied by a widely separated ""pair"" of stars at an off angle next to a bright star next to the brightest star in the sequence which is the base of the tail of the bear. No other stars super close to M40"
M41,34.9837014,-87.1687638,1/19/23,10:15 PM,G,4,15mm,Widely spread bright cluster of stars
M42,34.749469,-86.512399,3/4/23,7:50 PM,VG,3,15mm,Very large cloud that appears to be illuminated by stars behind it. Cluster of four stars at tip of large bulge. Faint see-through cotton transitions to dark connton. Reminds me of the continent of Europe in shape. M43 in view
M43,34.749469,-86.512399,3/4/23,8:00 PM,VG,3,15mm,"Across an expanse from M42, tipped by four stars, to a circular looking island. Faint cotton transitions sharply to dark. Almost Florida shaped"
M44,34.9837014,-87.1687638,2/9/23,8:15 PM,VG,4,20mm,"Widely spread cluster of bright blue stars, some appear in triples"
M45,34.749469,-86.512399,3/4/23,8:10 PM,VG,3,32mm,Very widely spread cluster of stars. Can't get everything even with 32mm eye piece. 7 sisters are very bright and clear. The 7 sisters fit into one field of view using the 32mm. Maybe 40 stars. 10 of which are bright
M46,34.9837014,-87.1687638,2/9/23,7:45 PM,VG,4,15mm,"Faint, loose cluster of stars of the same magnitude. Roughly shaped like an X. Round overall"
M47,34.9837014,-87.1687638,2/9/23,7:30 PM,VG,4,15mm,"Bright, large, irregularly shaped, blue seeming, stars of differing magnitudes. Perhaps 75 stars with 20 bright"
M48,34.9837014,-87.1687638,1/27/23,8:55 PM,VG,4,20mm,Wide cluster of medium brightness stars
M49,Lester,Lester,3/28/23,11:50 PM,VG,3,20mm,"Wide, soft, circular core. Medium brightness. Diminishing light roughly equal to wide core"
M50,34.9837014,-87.1687638,1/27/23,8:45 PM,VG,4,20mm,Cluster of stars with medium brightness. Faint dots of light emerging from background
M51,Lester,Lester,3/13/23,10:30 PM,G,4,20mm,"Very large swirl with a smaller companion next to it. Not sure if I'm imagining the bands of the large circular bloom or not. Large and small blooms of equal magnitude. Seems to be a bright light emerging under the large swirl. Large swirl is very wide. Both have bright, pea-like centers. Acclimation to the night vision is a must. Averted vision to get glimpses of bands"
M52,34.9837014,-87.1687638,2/12/23,8:30 PM,VG,4,15mm,Small cluster of 20 to 30 stars. Lower magnitude. One obvious higher magnitude. The rest appear to be around the same. Compact
M53,Lester,Lester,3/29/23,10:45 PM,G,3,9mm,Very bright and large. Mottled texture. Circular. I can almost tell an uneven brightness around the edges. The object does not appear to be uniformly bright. Some individual balls of light emerging
M54,35.0118938,-87.1463868,7/10/23,11:20 PM,VG,5,20mm,"A circular, dim, small, bright globular cluster. Brighter in the middle. Looks like a very thick star. Dense looking core. Quickly fades away"
M55*,Lester 2,Lester 2,7/10/23,11:35 PM,VG,5,20mm,A gigantic coarse globular cluster. Resolvable stars all of about the same magnitude. Very nice. Very spread out but still together. Milky background.
M56,Lester,Lester,5/24/23,11:10 PM,G,3,15mm,"Large and somewhat faint globular cluster. Hard to resolve any stars. Could seem large because it is faint. Hard to spot with bad night vision, a decently bright moon, and mosquitos."
M57*,Lester,Lester,5/24/23,11:00 PM,G,3,15mm,Ring nebula. Awesome. Small ring. First appeared as a small badly resolved star. Requires a bit of focus. A clear ring. Cheerio.
M58,Lester,Lester,3/28/23,11:20 PM,VG,3,20mm,Moon is nearly half so I feel I'm not getting the full impression. Moderately large core. Sort of elongated. Brightness fades slowly. Star of roughly equal magnitude nearby.
M59,Lester,Lester,3/28/23,11:30 PM,VG,3,20mm,Slightly elongated. Bright pea-like core. Small. M60 and other object in view with 20mm eyepiece.
M60*,Lester,Lester,3/28/23,11:45 PM,VG,3,20mm,Very bright and large. Companion object visible next to it. Brightness diminishes slowly. Circular. M59 and other object in view with 20mm. Companion object visible with averted vision
M61,Lester,Lester,3/29/23,10:30 PM,G,3,15mm,Very large and dim object. Blends in well with background. Somewhat mottled appearance. Predominately circular. Dim-ness could be attributed to the half moon. Even brightness across a circular disk that fades quickly. Could be imagining bars.
M62,Lester,Lester,6/17/23,11:00 PM,VG,4,15mm,A large and bright but dull globular cluster. No stars easily resolvable. One star emerging around the perimeter. Soft and smooth texture.
M63,Lester,Lester,2/28/23,10:45 PM,G,3,15mm,"Elongated at a slant. Bright. Avert vision reveals a slowly dimishing bloom. Noticeable star close by. A ""pair"" of stars next to the elongated bloom that appear nebulous"
M64,Lester,Lester,3/29/23,11:00 PM,G,3,15mm,Bright. Irregularly shaped. Sort of like an oval. Almost star-like center. Brightness dissipates in the length of the oval. Maintains brightness in those directions respectably.
M65,Lester,Lester,2/27/23,10:00 PM,VG,3,20mm,Elongated bloom. Close to M66. In field of view with 20mm eye piece. Seems to be about the same size as M66. Maybe somewhat smaller. One faint star near it.
M66,Lester,Lester,2/27/23,10:15 PM,VG,3,20mm,Elongated bloom with four dim stars nearby. Seems brighter than M65 but only slightly. Less elongated than M65
M67,Lester,Lester,1/27/23,8:30 PM,VG,4,20mm,Small cluster of stars with dots of light emerging from background
M68*,Lester,Lester,4/17/23,11:10 PM,G,4,15mm,Gigantic blob. Smoother texture than M3. Hard to distinguish individual stars. Some stars barely peppering the perimeter. Even brightness throughout its large center. Slowly diminishing light exiting large center. Circular
M69,Lester 2,Lester 2,7/10/23,11:25 PM,VG,5,20mm,"Circular, dim globular cluster with a bright star directly underneath it. Very faint individual stars maybe being resolved. Could be imagined. Mottled. Globby. Core is large. Dandelion-esque."
M70,Lester 2,Lester 2,7/10/23,11:20 PM,VG,5,20mm,A large globular cluster. Dim and spread out. The core is not very large but it seems to spread out a large amount. No resolvable stars. Two stars to the right near the perimeter. Seems elongated because of the stars to the right.
M71,Lester,Lester,6/27/23,11:40 PM,VG,3.5,20mm,"A cluster of stars. The cluster is irregularly shaped. Dim, smudgy core. Resolvable dim stars near the core. Lies in a star cloud. A lot of stars around."
M72,Lester 2,Lester 2,7/10/23,11:55 PM,VG,5,20mm,Faint. Not much to say. Elongated seeming. Not perfectly circular. Two faint stars near the center. Medium sized. Even smoothness. Smoothly fades into the background blackness
M73,Lester 2,Lester 2,7/11/23,12:00 AM,VG,5,20mm,"Three little stars in a triangle. Kind of stands out. I knew I was looking for an asterism but I didn't know what it looked like. I figured this might be what it was. I had to look up to confirm it was indeed these stars. I can make out four stars. It initially looked like three. Small, close group of four stars"
M74,Lester,Lester,2/9/23,7:15 PM,VG,4,15mm,"Round, brighter near center, gradually fades, averted vision helps, very faint, a few stars in surrounding area, barely noticable from background darkness, pea-like core"
M75,Lester 2,Lester 2,7/10/23,11:45 PM,VG,5,20mm,"Kind of lame, small. Almost looks like a star. Wimpy globular cluster. Dense. Tight. No resolvable stars."
M76,34.92885,-87.025166,12/28/22,7:00 PM,VG,3,15mm,Faded piece of rice
M77,Lester,Lester,1/19/23,10:00 PM,G,4,15mm,Small bloom bright center
M78,34.98273,-87.1495491,12/31/22,10:05 PM,VG,3,15mm,"Faint smudge lit up by two stars, one side brighter than the other"
M79,35.0071387,-87.2035658,1/15/23,8:10 PM,VG,3,15mm,Small dim bloom
M80,Lester,Lester,6/13/23,9:30 PM,VG,4,15mm,Pretty small. I was initially looking with a 20mm eyepiece and I switched to 15mm. Soft texture. No individual stars that I can see. Sort of looks like a galaxy with a very bright core. Circular
M81,Lester,Lester,2/12/23,7:45 PM,VG,4,15mm,Very bright. Circular. Bright center that slowly fades away. A few low magnitude stars nearby. M82 in view
M82,Lester,Lester,2/12/23,8:00 PM,VG,4,15mm,Bright ray. Cigarette-like. Equal brightness for 2/3 length. Maybe 1/5 as thick as long. M81 in view. Somewhat bright core
M83,Lester,Lester,6/9/23,9:30 PM,VG,4,20mm,"A particularly fuzzy looking ""star"". Looks like a star other than not being able to focus on a point. It also contains a larger bloom of light around it. Circular. Hard to find. 3rd trip looking for it. Bad conditions. Smoke from Canada. 3 stars on top. Object below as in drawing"
M84,Lester,Lester,3/14/23,10:45 PM,G,4,15mm,Very compact. Circular. Bright. Quickly fades away. Sharp contrast to darkness but not terribly sharp. M86 in view. Other galaxies in view and in surrounding area
M85,Lester,Lester,3/19/23,11:00 PM,VG,4,20mm,"Circular bright bloom next to star. Another smaller bloom in view. Averted vision intensifies the brightness a lot. Large, bright core. Magnitude of core and star almost the same."
M86,Lester,Lester,3/14/23,10:55 PM,G,4,15mm,Bright. Compact. Circular. Less bright and compact than M84 which is in view. Other galaxies in view and in surrounding area.
M87,Lester,Lester,3/19/23,11:40 PM,VG,4,20mm,Almost star-like. Very bright and dense. Tightly packed core which decays quickly. Large core. Round
M88*,Lester,Lester,3/19/23,11:15 PM,VG,4,20mm,"Very bright, large, and long. Many stars in view. Brighter core but not so much so. Very soft texture. Star very near-by with about the same magnitude as core"
M89,Lester,Lester,3/19/23,11:50 PM,VG,4,20mm,"Small, circular bright core, star-like M90 in view with 20mm. Nothing very special seeming about this one."
M90,Lester,Lester,3/20/23,12:00 AM,VG,4,20mm,"Large, irregularly shaped. Ray-like. Brighter center. Fades very gradually. Wide"
M91,Lester,Lester,3/19/23,11:30 PM,VG,4,20mm,Almost in view of M88 with 20mm. Less bright than M88. Circular. Brighter core but decays very slowly. Core sort of strangely shaped.
M92,Lester,Lester,4/17/23,11:30 PM,G,4,15mm,Very bright and large. Densely packed. Rought texture. Many stars peppering the outside of the dense core. Reminds me of an image of an atom with many electrons flying around it.
M93,Lester,Lester,1/23/23,9:20 PM,G,4,15mm,Small cluster of stars
M94,Lester,Lester,2/28/23,10:50 PM,G,3,15mm,Small but bright. Circular. Pea-like center that fades quickly. Thick core
M95,Lester,Lester,2/27/23,10:30 PM,VG,3,20mm,"Bright, diffuse. Can barely get M96 in field of view with 20mm. Seems small but averted vision reveals it to be wide and circular."
M96,Lester,Lester,2/27/23,10:45 PM,VG,3,20mm,Much brighter than M95. Circular to elongated. Brighter center
M97,Lester,Lester,2/9/23,8:00 PM,VG,4,15mm,"Squarish-circular uniform dim light, large, light ends suddenly"
M98,Lester,Lester,3/14/23,10:05 PM,G,4,20mm,"Flat, bright ray. Bright star nearby. Bright core which fades in both directions of ray. Somewhat thin. Very long. Fairly evenly spread magnitude"
M99,Lester,Lester,3/14/23,10:20 PM,G,4,20mm,Compact circular core which maintains brightness before fading. Low magnitude star nearby in fading light. Resembles a very tight globular cluster
M100*,Lester,Lester,3/14/23,10:30 PM,G,4,20mm,"Very small, bright core that fades a large amount. Circular. Sharp contrast between the core and the fading bloom surrounding it. Diminishes equally"
M101,Lester,Lester,3/13/23,10:50 PM,G,4,20mm,"Very large, bright patch of sky. Takes a long time to fade away. Not the brightest core. A faint warm patch of light. Slightly brighter near center. Circular. Acclimated vision required, averted not. Perhaps some low magnitude stars near center. Somewhat irregularly shaped"
M102,Lester,Lester,4/17/23,11:20 PM,G,4,15mm,"Smallish elliptical galaxy with two prominent neighboring stars nearby. The two stars are of similar magnitude to the galaxy. I am not sure if they are a part of the same system. I thought perhaps one was a companion galaxy at first glance. I reckon they are stars, though. Averted vision extends the ellipse a large amount, much more than the small core of bright light first noted."
M103,34.92885,-87.025166,12/28/22,7:00 PM,VG,3,20mm,Small cluster of stars with emerging dots of light in the background
M104,Lester,Lester,4/17/23,11:00 PM,G,4,20mm,Large and bright ray. More thick and bright near pea-like center. Centering vision onto the object and quickly averting gives the impression of a nebulous outline.
M105,Lester,Lester,2/27/23,11:00 PM,VG,3,20mm,"Almost looks like two separate galaxies? Appears to be two stars surrounded by nebulosity. Small, circular bright center. M96 barely in view"
M106,Lester,Lester,2/12/23,8:15 PM,VG,4,15mm,Large and somewhat bright. Seems extended on two ends. Starlike center. Small core. Fades gradually in opposite directions
M107,Lester,Lester,6/9/23,10:00 PM,VG,4,20mm,Very faint. Circular. Not a lot of individual stars. Soft. Some prominent stars around the perimeter but only a few
M108,Lester,Lester,2/9/23,8:15 PM,VG,4,15mm,"Long flat beam of light, wide, brighter near middle"
M109,Lester,Lester,2/12/23,7:30 PM,VG,4,15mm,Faint patch of light near Phecda. A low magnitude star is close to being in front of the view. Irregularly shaped. Brighter near the center. Could not make out any singular star. Averted vision helps. Somewhat pear shaped.
M110,34.749463,-86.512439,12/17/22,9:00 PM,E,3,6mm,Dim bloom
